"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"(Optional. Leave blank for no prefix)","(Optional. Leave blank for no prefix)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Admin Path"
"After successfull installation please click the button below.","After successfull installation please click the button below."
"All packages were installed, click 'OK' to continue with installation.","All packages were installed, click 'OK' to continue with installation."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatively you could try the 'Manual Downloads and Upgrades' method."
"Base URL","URL gốc"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Check out our","Check out our"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required."
"Check this box only if it is not possible to automatically validate the Base URL.","Check this box only if it is not possible to automatically validate the Base URL."
"Choose this if you would like to test frontend and backend functionality.","Choose this if you would like to test frontend and backend functionality."
"Configuration","Cấu hình"
"Confirm Password","Xác nhận mật khẩu"
"Connection","Kết nối"
"Continue","Tiếp tục"
"Continue After Manual Download","Tiếp tục sau khi bạn đã tải về"
"Continue Full Download / SVN Installation","Continue Full Download / SVN Installation"
"Create Admin Account","Tạo tài khoản quản trị"
"Currently this is the most stable state available for Magento packages.","Currently this is the most stable state available for Magento packages."
"Database","Cở sở dữ liệu"
"Database Connection","Kết nối CSDL"
"Database Name","Tên CSDL"
"Database Name cannot be empty.","Tên CSDL không được rỗng."
"Database Type","Loại CSDL"
"Database connection error.","Có lỗi khi kết nối đến CSDL."
"Database host","Máy chủ CSDL"
"Database server does not support the InnoDB storage engine.","Cơ sở dữ liệu không hỗ trợ chế độ lưu trữ InnoDB."
"Database user name","Tên người dùng CSDL"
"Database user password","Mật khẩu người dùng CSDL"
"Default Currency","Tiền tệ mặc định"
"Download","Tải xuống"
"Download Magento Core Modules and Updates","Download Magento Core Modules and Updates"
"Downloading and installing Magento, please wait...","Downloading and installing Magento, please wait..."
"Email","Email"
"Email Address","Địa chỉ Email"
"Enable Charts","Enable Charts"
"Enable this option if you want the charts to be displayed on Dashboard.","Enable this option if you want the charts to be displayed on Dashboard."
"Enable this option only if you have SSL available.","Enable this option only if you have SSL available."
"Encryption Key","Khóa mã hóa"
"File System","Tập tin hệ thống"
"First Name","Tên"
"Full Download / SVN Installation","Full Download / SVN Installation"
"Get ready to experience Open-Source eCommerce Evolved.","Get ready to experience Open-Source eCommerce Evolved."
"Go to Backend","Đến trang quản trị"
"Go to Frontend","Đến trang người dùng"
"Having trouble installing Magento?","Bạn gặp lỗi khi cài đặt Magento?"
"Help Us to Keep Magento Healthy","Giúp chúng tôi giữ cho Magento luôn vững mạnh"
"Host","Host"
"I agree to the above terms and conditions.","Tôi đồng ý với những điều kiện và điều khoản trên."
"If you are a developer and would like to have the latest public updates, choose this option.","If you are a developer and would like to have the latest public updates, choose this option."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files."
"If your server is running on MS Windows, most probably you will not need to change anything.","If your server is running on MS Windows, most probably you will not need to change anything."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","In other cases you will need to make Magento files writeable for the user that the web server process is running under."
"Installation","Cài đặt"
"Installation Guide","Hướng dẫn cài đặt"
"Installer does not exist for %s database type","Installer does not exist for %s database type"
"Last Name","Họ"
"License Agreement","License Agreement"
"Locale","Vùng miền"
"Locale settings","Cài đặt vùng miền"
"Localization","Cài đặt vùng"
"Login Information","Thông tin đăng nhập"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Hộp thoại cài đặt Magento"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento là biểu tượng của cty Magento. Copyright &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page."
"Manual Downloads and Upgrades","Manual Downloads and Upgrades"
"No resource for %s DB model.","No resource for %s DB model."
"One of PHP Extensions ""%s"" must be loaded.","One of PHP Extensions ""%s"" must be loaded."
"PHP Extension '%s' loaded","PHP Extension '%s' loaded"
"PHP Extensions ""%s"" must be loaded.","PHP Extensions ""%s"" must be loaded."
"PHP extension ""%s"" must be loaded.","PHP extension ""%s"" must be loaded."
"Package Management through the Web","Package Management through the Web"
"Password","Mật khẩu"
"Password Confirmation","Xác nhận mật khẩu"
"Path ""%s"" must be writable.","Path ""%s"" must be writable."
"Personal Information","Thông tin cá nhân"
"Please correct the user data and try again.","Please correct the user data and try again."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration."
"Please note that it is much less stable than beta.","Please note that it is much less stable than beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option."
"Please set all required settings before clicking Continue","Please set all required settings before clicking Continue"
"Preferred stability: %s","Ưu tiên sự ổn định: %s"
"Proceed With Automatic Download (%s)","Xử lý với tự động tải (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Provide a complete base URL for SSL connection. For example: %s"
"Report All Bugs","Báo cáo lỗi"
"Required Fields","Trường bắt buộc"
"Response from server isn\'t valid.","Kết quả trả về từ máy chủ không đúng."
"Run admin interface with SSL","Dùng giao diện quản trị viên với SSL"
"Run this in your shell from Magento root folder:","Run this in your shell from Magento root folder:"
"Save Session Data In","Save Session Data In"
"Save Session Files In","Save Session Files In"
"Secure Base URL","Secure Base URL"
"Session Storage Options","Session Storage Options"
"Setting preferred state to: %s","Setting preferred state to: %s"
"Skip Base URL Validation Before the Next Step","Skip Base URL Validation Before the Next Step"
"Skip Secure URL validation before next step","Skip Secure URL validation before next step"
"Tables Prefix","Tables Prefix"
"The URL ""%s"" is invalid.","Đường dẫn ""%s"" không đúng."
"The URL ""%s"" is not accessible.","Đường dẫn ""%s"" không thể truy cập."
"The database server version doesn\'t match system requirements (required: %s, actual: %s).","The database server version doesn\'t match system requirements (required: %s, actual: %s)."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter."
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","There was a problem installing Magento packages. Please read the log, correct errors and try again."
"Time Zone","Múi giờ"
"Use Secure URLs (SSL)","Dùng bảo mật đường dẫn URLs (SSL)"
"Use Web Server (Apache) Rewrites","Sử dụng máy chủ chuyển hướng (Apache)"
"User name","Tên người dùng"
"User Password","Mật khẩu"
"Username","Tên người dùng"
"Validation","Kiểm tra hợp lệ"
"Web access options","Tùy chọn truy cập web"
"Welcome","Xin chào"
"Welcome to Magento's Installation Wizard","Welcome to Magento's Installation Wizard"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","You could enable this option to use web server rewrites functionality for improved search engines optimization."
"You're All Set","Bạn đã cài xong"
"You're All Set!","Bạn đã cài xong!"
